receipt_no,sale_datetime,item_code,size,qty,unit_price,member_id,payment
NM-001153,08/02/2569 16:05,C06,S,1,65,M0059,CASH
NM-001154,08/02/2569 16:52,C03,S,1,55,M0310,QR
NM-001155,08/02/2569 18:18,T05,S,2,50,,CARD
NM-001155,08/02/2569 18:18,B04,,1,75,,CARD
NM-001156,08/02/2569 18:39,C02,L,2,65,,QR
NM-001157,08/02/2569 18:44,T02,L,1,80,,CARD
NM-001158,08/02/2569 18:51,C06,M,1,75,M0208,CASH
NM-001158,08/02/2569 18:51,C06,M,1,75,M0208,CASH
NM-001159,08/02/2569 19:29,T05,L,1,70,M0592,CASH
NM-001160,08/02/2569 19:47,C05,M,1,70,,CARD
NM-001160,08/02/2569 19:47,T03,M,1,50,,CARD
NM-001161,09/02/2569 07:00,B03,,1,85,,QR
NM-001162,09/02/2569 07:53,T04,L,1,70,,QR
NM-001163,09/02/2569 08:03,C03,S,2,55,,QR
NM-001163,09/02/2569 08:03,B03,,1,85,,QR
NM-001164,09/02/2569 08:09,C02,S,1,45,,CASH
NM-001165,09/02/2569 08:21,C02,,1,45,M0252,QR
NM-001166,09/02/2569 08:21,T02,,1,80,M0291,QR
NM-001167,09/02/2569 08:23,C03,M,2,65,M0153,QR
NM-001168,09/02/2569 08:46,C04,L,1,75,M0053,QR
NM-001169,09/02/2569 08:49,C03,M,1,65,,QR
NM-001170,09/02/2569 09:35,C03,L,1,75,,QR
NM-001171,09/02/2569 09:46,C01,M,1,55,M0226,QR
NM-001171,09/02/2569 09:46,B04,,1,75,M0226,QR
NM-001172,09/02/2569 09:52,C05,L,1,80,,CASH
NM-001173,09/02/2569 09:55,B01,,1,55,,QR
NM-001174,09/02/2569 10:10,T02,M,1,70,,QR
NM-001175,09/02/2569 10:18,C05,L,1,80,M0350,CASH
NM-001176,09/02/2569 10:44,B02,,3,50,,QR
NM-001177,09/02/2569 11:21,C03,S,1,55,,CARD
NM-001178,09/02/2569 12:42,T03,M,1,50,,QR
NM-001179,09/02/2569 12:59,C03,L,1,75,M0123,CASH
NM-001179,09/02/2569 12:59,B03,,1,,M0123,CASH
NM-001180,09/02/2569 13:48,T02,M,1,70,M0467,QR
NM-001181,09/02/2569 14:21,T05,S,2,50,,QR
NM-001182,09/02/2569 14:26,B02,,1,,M0208,CASH
NM-001183,09/02/2569 14:27,C04,M,1,65,,CASH
NM-001184,09/02/2569 14:29,T04,S,1,50,M0539,QR
NM-001185,09/02/2569 14:57,C01,M,1,55,,CARD
NM-001186,09/02/2569 16:00,B01,,3,55,M0587,QR
NM-001187,09/02/2569 16:28,C04,M,2,65,,QR
NM-001188,09/02/2569 17:13,T01,S,1,45,M0551,QR
NM-001189,09/02/2569 18:20,C04,S,1,55,,CASH
NM-001190,09/02/2569 18:43,B03,,1,85,M0551,QR
NM-001191,09/02/2569 19:41,T05,L,1,70,,QR
NM-001192,10/02/2569 07:46,T03,L,1,60,,QR
NM-001193,10/02/2569 08:03,C06,L,1,85,M0454,QR
NM-001194,10/02/2569 08:10,C01,M,1,55,,QR
NM-001194,10/02/2569 08:10,B04,,1,75,,QR
NM-001195,10/02/2569 09:39,C04,L,2,75,,CARD
NM-001195,10/02/2569 09:39,B01,,1,,,CARD
NM-001196,10/02/2569 09:52,T01,S,1,4500,,QR
NM-001197,10/02/2569 09:54,C02,S,1,45,,QR
NM-001197,10/02/2569 09:54,B01,,1,55,,QR
NM-001198,10/02/2569 11:20,C04,L,1,75,,QR
NM-001198,10/02/2569 11:20,B03,,1,85,,QR
NM-001199,10/02/2569 11:38,B01,,1,55,,CARD
NM-001200,10/02/2569 12:24,C01,M,1,55,M0249,CARD
NM-001201,10/02/2569 12:35,T03,M,1,50,M0079,QR
NM-001202,10/02/2569 12:45,B01,,2,55,M0057,QR
NM-001203,10/02/2569 13:42,C02,S,1,45,M0502,CASH
NM-001204,10/02/2569 13:56,T02,L,1,80,,CASH
NM-001204,10/02/2569 13:56,B01,,1,55,,CASH
NM-001204,10/02/2569 13:56,C02,L,1,65,,CASH
NM-001205,10/02/2569 13:58,C02,M,3,55,M0396,QR
NM-001206,10/02/2569 14:05,B01,,1,55,,QR
NM-001207,10/02/2569 14:10,T05,M,1,60,M0641,CASH
NM-001207,10/02/2569 14:10,B04,,1,75,M0641,CASH
NM-001208,10/02/2569 14:36,T02,S,1,60,M0065,QR
NM-001209,10/02/2569 14:40,T01,M,1,55,M0049,QR
NM-001210,10/02/2569 15:09,T04,S,1,50,,CARD
NM-001211,10/02/2569 15:26,C01,M,1,55,M0465,QR
NM-001211,10/02/2569 15:26,B04,,1,75,M0465,QR
NM-001212,10/02/2569 15:46,B01,,2,55,,CARD
NM-001213,10/02/2569 16:04,C05,M,2,70,,QR
NM-001214,10/02/2569 16:26,T01,M,1,55,,CASH
NM-001214,10/02/2569 16:26,B02,,1,50,,CASH
NM-001214,10/02/2569 16:26,T03,L,1,60,,CASH
NM-001215,10/02/2569 16:54,T05,S,3,50,,CARD
NM-001216,10/02/2569 17:21,T04,L,1,70,M0370,CASH
NM-001217,10/02/2569 19:07,C03,S,1,55,,CARD
NM-001217,10/02/2569 19:07,B03,,1,85,,CARD
NM-001218,11/02/2569 07:10,T04,S,1,50,,QR
NM-001218,11/02/2569 07:10,B04,,1,75,,QR
NM-001219,11/02/2569 08:36,C04,M,1,65,,CASH
NM-001219,11/02/2569 08:36,C01,L,1,65,,CASH
NM-001220,11/02/2569 08:40,T04,S,1,50,M0107,QR
NM-001221,11/02/2569 08:51,T03,L,1,60,M0193,QR
NM-001221,11/02/2569 08:51,B01,,1,,M0193,QR
NM-001222,11/02/2569 09:32,C02,S,1,45,,QR
NM-001223,11/02/2569 09:56,C01,L,1,65,M0681,QR
NM-001224,11/02/2569 09:56,C04,M,1,,M0685,QR
NM-001225,11/02/2569 10:23,C04,M,1,65,,QR
NM-001226,11/02/2569 10:33,C06,L,1,85,M0603,CARD
NM-001227,11/02/2569 10:44,B02,,2,50,,QR
NM-001227,11/02/2569 10:44,T03,M,1,50,,QR
NM-001228,11/02/2569 11:19,T01,M,1,,,QR
NM-001228,11/02/2569 11:19,C04,S,1,55,,QR
NM-001229,11/02/2569 11:57,C05,L,1,80,M0549,CASH
NM-001229,11/02/2569 11:57,B01,,1,55,M0549,CASH
NM-001230,11/02/2569 12:26,C06,L,1,85,,QR
NM-001231,11/02/2569 13:00,C02,M,1,55,,QR
NM-001231,11/02/2569 13:00,T01,L,1,65,,QR
NM-001232,11/02/2569 13:10,T01,S,1,45,,QR
NM-001232,11/02/2569 13:10,B04,,1,75,,QR
NM-001233,11/02/2569 13:39,B03,,1,85,M0105,CASH
NM-001234,11/02/2569 13:52,C03,M,1,65,M0020,CARD
NM-001234,11/02/2569 13:52,B03,,1,85,M0020,CARD
NM-001235,11/02/2569 13:59,T04,M,1,60,,QR
NM-001236,11/02/2569 14:05,B01,,1,55,,QR
NM-001237,11/02/2569 14:39,T01,L,1,65,,CASH
NM-001238,11/02/2569 15:03,T01,M,3,,M0200,CASH
NM-001239,11/02/2569 15:09,T04,L,1,70,M0069,CARD
NM-001240,11/02/2569 15:34,C04,L,1,75,,QR
NM-001240,11/02/2569 15:34,B03,,1,85,,QR
NM-001241,11/02/2569 15:36,C04,M,1,65,,QR
NM-001242,11/02/2569 15:42,C03,S,1,55,M0651,QR
NM-001243,11/02/2569 15:52,C02,M,1,55,,CARD
NM-001243,11/02/2569 15:52,B01,,1,55,,CARD
NM-001243,11/02/2569 15:52,C01,S,1,45,,CARD
NM-001244,11/02/2569 15:53,T01,M,1,55,,QR
NM-001244,11/02/2569 15:53,B02,,1,50,,QR
NM-001245,11/02/2569 16:02,C02,M,1,55,,QR
NM-001245,11/02/2569 16:02,B01,,1,55,,QR
NM-001246,11/02/2569 17:04,C03,L,2,75,,CASH
NM-001246,11/02/2569 17:04,B03,,1,,,CASH
NM-001247,11/02/2569 17:57,C05,M,1,70,,QR
NM-001247,11/02/2569 17:57,C05,M,1,70,,QR
NM-001248,12/02/2569 09:08,C01,M,2,55,,QR
NM-001248,12/02/2569 09:08,B04,,1,75,,QR
NM-001249,12/02/2569 09:19,B04,,1,75,,CASH
NM-001249,12/02/2569 09:19,T01,M,1,55,,CASH
NM-001250,12/02/2569 09:51,C06,L,2,85,M0378,QR
NM-001251,12/02/2569 10:18,C05,L,1,80,M0481,QR
NM-001252,12/02/2569 10:46,C02,M,1,55,,CARD
NM-001252,12/02/2569 10:46,T04,S,1,50,,CARD
NM-001253,12/02/2569 11:13,C03,M,1,65,M0231,CARD
NM-001254,12/02/2569 12:36,T05,L,1,70,M0304,QR
NM-001255,12/02/2569 13:31,T01,S,1,45,,CASH
NM-001255,12/02/2569 13:31,B02,,1,50,,CASH
NM-001256,12/02/2569 13:35,B02,,1,50,,QR
NM-001256,12/02/2569 13:35,B01,,1,55,,QR
NM-001257,12/02/2569 13:52,C04,M,1,65,,QR
NM-001258,12/02/2569 14:00,C05,L,1,80,,CARD
NM-001258,12/02/2569 14:00,B02,,1,50,,CARD
NM-001259,12/02/2569 14:01,C04,L,1,75,,CASH
NM-001260,12/02/2569 14:02,T01,S,1,45,,CASH
NM-001260,12/02/2569 14:02,B02,,1,50,,CASH
NM-001261,12/02/2569 14:21,T05,S,1,50,M0793,CARD
NM-001262,12/02/2569 14:53,T04,S,1,50,M0786,CARD
NM-001263,12/02/2569 14:54,T04,L,1,70,M0720,QR
NM-001263,12/02/2569 14:54,B02,,1,50,M0720,QR
NM-001263,12/02/2569 14:54,T02,M,1,70,M0720,QR
NM-001264,12/02/2569 15:39,C02,L,1,65,M0383,QR
NM-001264,12/02/2569 15:39,B01,,1,55,M0383,QR
NM-001265,12/02/2569 15:40,B01,,1,55,,QR
NM-001266,12/02/2569 18:07,C01,M,1,55,,QR
NM-001266,12/02/2569 18:07,B04,,1,75,,QR
NM-001267,12/02/2569 18:33,B01,,1,55,M0367,CASH
NM-001268,12/02/2569 18:40,B01,,1,55,,QR
NM-001269,12/02/2569 19:35,C06,L,2,85,M0280,CARD
NM-001269,12/02/2569 19:35,T01,M,1,55,M0280,CARD
NM-001269,12/02/2569 19:35,T01,M,1,55,M0280,CARD
NM-001270,13/02/2569 07:30,B02,,1,50,M0314,QR
NM-001271,13/02/2569 07:43,C02,L,1,,,CARD
NM-001271,13/02/2569 07:43,B01,,1,55,,CARD
NM-001271,13/02/2569 07:43,B01,,1,55,,CARD
NM-001271,13/02/2569 07:43,C03,S,1,55,,CARD
NM-001272,13/02/2569 09:27,B03,,1,85,,CARD
NM-001273,13/02/2569 11:15,C06,L,1,85,M0345,QR
NM-001274,13/02/2569 12:07,B02,,1,50,,CARD
NM-001275,13/02/2569 12:49,T02,M,-1,70,,CASH
NM-001276,13/02/2569 12:56,C03,M,2,65,,QR
NM-001276,13/02/2569 12:56,B03,,1,85,,QR
NM-001277,13/02/2569 14:22,T03,M,1,50,,QR
NM-001278,13/02/2569 14:27,C05,M,1,70,M0044,CARD
NM-001279,13/02/2569 14:38,T02,L,2,80,,QR
NM-001279,13/02/2569 14:38,C06,M,1,75,,QR
NM-001280,13/02/2569 14:49,C04,S,1,55,,QR
NM-001281,13/02/2569 14:52,B02,,1,50,M0315,QR
NM-001282,13/02/2569 15:25,T04,M,1,60,,QR
NM-001283,13/02/2569 15:37,C06,M,3,75,,CASH
NM-001284,13/02/2569 15:51,B02,,2,50,,QR
NM-001285,13/02/2569 16:50,C03,M,1,65,,CASH
NM-001285,13/02/2569 16:50,B03,,1,85,,CASH
NM-001286,13/02/2569 16:59,C02,M,1,55,,QR
NM-001286,13/02/2569 16:59,B03,,1,85,,QR
NM-001287,14/02/2569 07:44,T05,M,1,60,,QR
NM-001288,14/02/2569 08:06,T03,S,1,40,,QR
NM-001289,14/02/2569 08:15,C05,L,1,80,M0694,QR
NM-001290,14/02/2569 08:24,B02,,1,50,M0467,QR
NM-001290,14/02/2569 08:24,T01,M,1,55,M0467,QR
NM-001291,14/02/2569 08:44,C03,L,2,75,M0437,QR
NM-001291,14/02/2569 08:44,B03,,1,85,M0437,QR
NM-001292,14/02/2569 08:56,T04,S,1,50,M0162,QR
NM-001293,14/02/2569 08:58,C06,M,1,75,,CASH
NM-001294,14/02/2569 09:08,C05,M,1,70,M0471,QR
NM-001295,14/02/2569 09:29,C03,L,1,75,,CASH
NM-001295,14/02/2569 09:29,B03,,1,85,,CASH
NM-001296,14/02/2569 09:40,C02,M,1,,,CASH
NM-001296,14/02/2569 09:40,B01,,1,55,,CASH
NM-001297,14/02/2569 09:48,C01,M,1,55,M0333,QR
NM-001297,14/02/2569 09:48,B04,,1,75,M0333,QR
NM-001298,14/02/2569 10:02,C02,M,1,55,,CARD
NM-001298,14/02/2569 10:02,B01,,1,55,,CARD
NM-001299,14/02/2569 10:10,C01,M,1,55,M0657,QR
NM-001300,14/02/2569 10:15,C04,M,1,65,M0157,QR
NM-001301,14/02/2569 10:31,C02,S,1,45,M0334,CASH
NM-001301,14/02/2569 10:31,B01,,1,55,M0334,CASH
NM-001302,14/02/2569 10:38,C01,M,1,,,CARD
NM-001302,14/02/2569 10:38,C06,M,1,75,,CARD
NM-001303,14/02/2569 11:08,C03,S,1,55,M0407,QR
NM-001304,14/02/2569 13:19,B01,,1,55,,CARD
NM-001305,14/02/2569 13:53,T05,M,1,60,M0596,CARD
NM-001305,14/02/2569 13:53,C03,M,1,65,M0596,CARD
NM-001306,14/02/2569 14:08,T04,S,1,50,,QR
NM-001307,14/02/2569 14:35,C03,M,2,,,QR
NM-001307,14/02/2569 14:35,B03,,1,85,,QR
NM-001307,14/02/2569 14:35,B03,,1,85,,QR
NM-001308,14/02/2569 15:44,C06,M,0,75,,CASH
NM-001309,14/02/2569 15:47,C05,M,2,70,M0280,CARD
NM-001310,14/02/2569 15:52,T03,S,1,40,M0330,QR
NM-001311,14/02/2569 16:03,B02,,1,50,M0444,CASH
NM-001312,14/02/2569 16:17,T05,S,1,50,,CARD
NM-001313,14/02/2569 16:20,B02,,1,50,M0409,CASH
NM-001314,14/02/2569 16:29,T05,S,1,50,M0164,CARD
NM-001315,14/02/2569 17:48,T03,L,1,60,M0774,QR
NM-001316,14/02/2569 18:09,T01,L,2,65,,QR
NM-001317,14/02/2569 18:16,T01,M,1,55,M0014,QR
NM-001318,14/02/2569 18:28,C05,M,1,70,,QR
NM-001319,14/02/2569 18:37,T02,M,2,70,M0172,CASH
NM-001320,14/02/2569 19:14,C04,M,2,65,M0203,QR
NM-001321,14/02/2569 19:57,B02,,1,50,,QR
NM-001322,15/02/2569 07:51,C01,M,1,55,M0156,QR
NM-001322,15/02/2569 07:51,B04,,1,75,M0156,QR
NM-001323,15/02/2569 08:09,T02,M,1,70,M618,QR
NM-001324,15/02/2569 08:41,C03,S,1,55,M0774,QR
NM-001325,15/02/2569 09:05,T03,M,2,50,,QR
NM-001326,15/02/2569 09:13,T02,M,1,70,M0111,CASH
NM-001327,15/02/2569 09:27,B03,,1,85,M0260,QR
NM-001328,15/02/2569 09:35,C03,L,2,,M0339,QR
NM-001329,15/02/2569 09:56,C04,M,1,65,M0443,CASH
NM-001330,15/02/2569 10:05,C06,M,1,75,M0452,QR
NM-001330,15/02/2569 10:05,C03,M,1,65,M0452,QR
NM-001331,15/02/2569 10:21,C05,L,1,80,M0375,CARD
NM-001332,15/02/2569 10:38,C03,M,1,65,M0640,CARD
NM-001333,15/02/2569 11:24,T03,S,2,40,,CARD
NM-001334,15/02/2569 12:45,C03,S,1,55,,QR
NM-001335,15/02/2569 13:01,C02,L,1,65,M0531,CASH
NM-001335,15/02/2569 13:01,T05,L,1,70,M0531,CASH
NM-001336,15/02/2569 13:31,C03,M,1,65,,CARD
NM-001337,15/02/2569 13:52,C05,L,1,80,,QR
NM-001337,15/02/2569 13:52,B04,,1,75,,QR
NM-001338,15/02/2569 14:36,T04,L,1,70,,CASH
NM-001339,15/02/2569 14:48,T05,L,1,70,M0738,QR
NM-001340,15/02/2569 15:28,T02,S,2,60,,QR
NM-001340,15/02/2569 15:28,B02,,1,50,,QR
NM-001341,15/02/2569 15:48,C03,S,1,55,,QR
NM-001342,15/02/2569 15:54,C05,S,1,60,M0452,QR
NM-001343,15/02/2569 16:20,B01,,1,55,,CARD
NM-001344,15/02/2569 16:39,C04,,1,75,M0195,QR
NM-001345,15/02/2569 16:45,T03,M,1,50,,QR
NM-001346,15/02/2569 17:17,T01,S,1,45,M0331,QR
NM-001346,15/02/2569 17:17,B02,,1,50,M0331,QR
NM-001346,15/02/2569 17:17,T03,M,1,,M0331,QR
NM-001347,15/02/2569 17:24,C03,S,1,55,,QR
NM-001348,15/02/2569 19:05,C01,M,1,55,,CARD
NM-001348,15/02/2569 19:05,B04,,1,75,,CARD
NM-001349,16/02/2569 07:10,T01,S,1,45,M0521,CASH
NM-001349,16/02/2569 07:10,B02,,1,50,M0521,CASH
NM-001350,16/02/2569 07:32,C03,M,2,65,M0137,QR
NM-001351,16/02/2569 08:17,C03,S,1,55,M0712,QR
NM-001352,16/02/2569 08:49,T01,S,2,45,,CASH
NM-001352,16/02/2569 08:49,B02,,1,50,,CASH
NM-001353,16/02/2569 09:05,B03,,2,85,,QR
NM-001354,16/02/2569 09:24,C03,L,1,75,,CARD
NM-001355,16/02/2569 09:31,C04,M,1,65,M0513,QR
NM-001355,16/02/2569 09:31,B02,,1,50,M0513,QR
NM-001356,16/02/2569 09:45,B03,,1,85,,QR
NM-001357,16/02/2569 09:51,T01,S,2,45,,QR
NM-001358,16/02/2569 10:07,C02,M,1,55,M0058,QR
NM-001358,16/02/2569 10:07,B01,,1,55,M0058,QR
NM-001359,16/02/2569 10:08,C06,M,2,75,,QR
NM-001360,16/02/2569 10:31,C05,S,1,60,M0609,CASH
NM-001361,16/02/2569 10:50,T05,S,1,50,,QR
NM-001361,16/02/2569 10:50,B04,,1,75,,QR
NM-001362,16/02/2569 11:01,T01,M,1,55,,CASH
NM-001363,16/02/2569 11:09,C03,S,1,55,M0774,QR
NM-001364,16/02/2569 11:38,T01,S,1,45,,QR
NM-001365,16/02/2569 11:38,C01,L,1,65,,QR
NM-001366,16/02/2569 12:13,C04,S,1,55,,CASH
NM-001367,16/02/2569 13:51,C02,S,1,,,QR
NM-001368,16/02/2569 13:57,C05,S,1,,,QR
NM-001369,16/02/2569 14:30,T02,M,1,70,M0634,QR
NM-001370,16/02/2569 15:26,C01,,1,45,M0236,QR
NM-001371,16/02/2569 15:36,T02,M,2,70,,QR
NM-001372,16/02/2569 16:08,C06,M,1,75,M0577,CARD
NM-001373,16/02/2569 16:19,C01,L,100,65,,QR
NM-001373,16/02/2569 16:19,B04,,1,75,,QR
NM-001373,16/02/2569 16:19,C04,M,1,65,,QR
NM-001374,16/02/2569 16:45,C06,M,2,,,CASH
NM-001375,16/02/2569 16:47,C03,M,1,65,,CASH
NM-001375,16/02/2569 16:47,B03,,1,85,,CASH
NM-001376,16/02/2569 17:54,B02,,1,50,,QR
NM-001377,16/02/2569 18:29,C03,L,1,75,,CASH
NM-001377,16/02/2569 18:29,B03,,1,85,,CASH
NM-001378,16/02/2569 18:36,C03,M,1,65,M0633,CASH
NM-001378,16/02/2569 18:36,B03,,1,85,M0633,CASH
NM-001379,16/02/2569 19:09,T02,M,1,70,,CARD
NM-001380,16/02/2569 19:55,B01,,1,55,,QR
NM-001381,17/02/2569 08:47,T01,S,1,45,,CASH
NM-001381,17/02/2569 08:47,B02,,1,50,,CASH
NM-001382,17/02/2569 09:28,T01,M,1,55,M0721,QR
NM-001382,17/02/2569 09:28,T02,M,1,70,M0721,QR
NM-001383,17/02/2569 09:48,T02,S,2,60,M0376,QR
NM-001384,17/02/2569 09:57,C05,M,1,70,M0247,CARD
NM-001384,17/02/2569 09:57,T02,,1,70,M0247,CARD
NM-001385,17/02/2569 10:11,C03,M,2,65,,QR
NM-001385,17/02/2569 10:11,B03,,1,85,,QR
NM-001386,17/02/2569 11:31,T01,L,1,65,M0012,CASH
NM-001386,17/02/2569 11:31,B02,,1,50,M0012,CASH
NM-001387,17/02/2569 11:40,C04,M,1,65,,CASH
NM-001387,17/02/2569 11:40,T02,M,1,70,,CASH
NM-001388,17/02/2569 14:06,C03,M,3,65,,CARD
NM-001388,17/02/2569 14:06,B04,,1,75,,CARD
NM-001389,17/02/2569 14:08,C05,M,2,70,M0011,QR
NM-001390,17/02/2569 14:22,T01,L,1,65,,CARD
NM-001391,17/02/2569 14:35,C02,L,1,65,M0171,CARD
NM-001391,17/02/2569 14:35,B01,,1,55,M0171,CARD
NM-001392,17/02/2569 15:03,T02,M,1,70,M0345,QR
NM-001393,17/02/2569 15:14,T01,S,1,45,M0011,QR
NM-001394,17/02/2569 15:16,B03,,1,85,M0454,CASH
NM-001395,17/02/2569 15:21,T02,M,1,70,M0076,QR
NM-001396,17/02/2569 15:35,C06,M,2,75,M0365,CARD
NM-001397,17/02/2569 15:47,T01,,1,65,,QR
NM-001397,17/02/2569 15:47,B02,,1,50,,QR
NM-001398,17/02/2569 16:12,B02,,1,50,,QR
NM-001399,17/02/2569 16:20,C05,S,3,60,M0204,QR
NM-001400,17/02/2569 18:25,T02,M,2,70,M0115,QR
NM-001401,17/02/2569 18:28,T05,M,1,60,,QR
NM-001401,17/02/2569 18:28,B01,,1,55,,QR
NM-001402,17/02/2569 18:50,T02,M,2,70,M0431,CARD
NM-001402,17/02/2569 18:50,T01,S,1,45,M0431,CARD
NM-001403,17/02/2569 18:57,T01,L,1,65,M0659,QR
NM-001404,17/02/2569 19:42,T03,L,3,60,,QR
NM-001405,18/02/2569 07:02,C06,L,1,85,,CASH
NM-001405,18/02/2569 07:02,T03,L,1,60,,CASH
NM-001406,18/02/2569 07:28,T05,L,1,70,,QR
NM-001407,18/02/2569 07:51,C03,M,1,65,,QR
NM-001407,18/02/2569 07:51,B01,,1,55,,QR
NM-001408,18/02/2569 08:09,C03,L,1,75,,QR
NM-001408,18/02/2569 08:09,B03,,1,85,,QR
NM-001409,18/02/2569 08:12,C01,S,1,45,M0089,QR
NM-001410,18/02/2569 09:04,C05,L,1,80,,QR
NM-001411,18/02/2569 10:22,C04,M,1,65,M0621,QR
NM-001412,18/02/2569 10:42,T04,M,2,60,M0592,QR
NM-001412,18/02/2569 10:42,C04,S,1,55,M0592,QR
NM-001413,18/02/2569 10:59,C02,S,1,45,,QR
NM-001413,18/02/2569 10:59,B01,,1,55,,QR
NM-001414,18/02/2569 11:02,C01,M,1,55,,QR
NM-001414,18/02/2569 11:02,B04,,1,,,QR
NM-001415,18/02/2569 12:02,C02,L,1,65,,QR
NM-001415,18/02/2569 12:02,B01,,1,55,,QR
NM-001416,18/02/2569 12:14,C06,M,1,75,M0610,CARD
NM-001416,18/02/2569 12:14,B01,,1,55,M0610,CARD
NM-001417,18/02/2569 12:35,C02,L,1,65,M0314,QR
NM-001417,18/02/2569 12:35,B01,,1,55,M0314,QR
NM-001417,18/02/2569 12:35,C03,L,1,75,M0314,QR
NM-001418,18/02/2569 13:06,C02,S,1,45,,QR
NM-001419,18/02/2569 13:42,C04,M,1,65,M0452,CASH
NM-001420,18/02/2569 14:14,C03,S,1,55,,QR
NM-001420,18/02/2569 14:14,C01,M,1,55,,QR
NM-001421,18/02/2569 14:30,B02,,1,50,,QR
NM-001422,18/02/2569 14:40,T04,L,1,70,,QR
NM-001423,18/02/2569 05:55,T01,M,1,55,M0246,CASH
NM-001423,18/02/2569 05:55,B02,,1,50,M0246,CASH
NM-001424,18/02/2569 15:24,T04,M,1,60,,QR
NM-001425,18/02/2569 15:53,C03,L,2,75,,CASH
NM-001425,18/02/2569 15:53,B03,,1,85,,CASH
NM-001426,18/02/2569 16:17,T01,M,2,55,,QR
NM-001427,18/02/2569 16:34,T05,M,3,60,,CARD
NM-001428,18/02/2569 17:34,T04,S,1,,,QR
NM-001429,18/02/2569 17:51,B01,,1,55,M0745,QR
NM-001430,18/02/2569 18:20,T04,M,1,60,,CARD
NM-001431,18/02/2569 18:54,T01,M,2,55,M0027,QR
NM-001431,18/02/2569 18:54,B02,,1,,M0027,QR
NM-001432,18/02/2569 19:55,T04,M,1,60,,CARD
NM-001433,19/02/2569 07:44,C03,M,1,65,,CASH
NM-001433,19/02/2569 07:44,B03,,1,85,,CASH
NM-001434,19/02/2569 08:45,C03,L,1,75,M0167,CASH
NM-001435,19/02/2569 11:21,T03,M,100,50,,CARD
NM-001435,19/02/2569 11:21,B02,,1,50,,CARD
NM-001436,19/02/2569 11:25,C01,M,3,55,,CARD
NM-001436,19/02/2569 11:25,B04,,1,75,,CARD
NM-001437,19/02/2569 12:38,T02,M,1,70,,QR
NM-001438,19/02/2569 13:00,C06,S,1,65,,CARD
NM-001439,19/02/2569 13:11,C03,M,1,65,,CASH
NM-001439,19/02/2569 13:11,B03,,1,85,,CASH
NM-001440,19/02/2569 13:39,T04,M,1,60,,CASH
NM-001440,19/02/2569 13:39,B02,,1,50,,CASH
NM-001441,19/02/2569 13:43,C04,M,1,65,M0326,CARD
NM-001442,19/02/2569 14:08,C05,M,1,70,,QR
NM-001442,19/02/2569 14:08,T02,M,1,70,,QR
NM-001443,19/02/2569 15:02,B02,,1,50,M0401,CASH
NM-001444,19/02/2569 15:21,C05,S,1,60,,QR
NM-001445,19/02/2569 15:53,C02,M,2,55,,QR
NM-001445,19/02/2569 15:53,B01,,1,55,,QR
NM-001446,19/02/2569 17:01,C02,,1,45,M0484,QR
NM-001446,19/02/2569 17:01,B01,,1,55,M0484,QR
NM-001447,19/02/2569 17:39,C04,L,1,75,,CASH
NM-001447,19/02/2569 17:39,C06,M,1,75,,CASH
NM-001448,19/02/2569 18:11,T02,S,1,60,,CASH
NM-001449,19/02/2569 18:22,T04,M,1,60,M0219,QR
NM-001450,19/02/2569 18:23,B03,,1,85,,CASH
NM-001451,20/02/2569 08:31,B02,,1,50,,QR
NM-001452,20/02/2569 08:41,C02,S,1,45,,CASH
NM-001453,20/02/2569 08:48,C03,L,1,75,,CARD
NM-001454,20/02/2569 08:50,C03,M,1,65,,CASH
NM-001455,20/02/2569 09:17,C03,,2,65,M0239,QR
NM-001456,20/02/2569 09:58,C03,S,1,55,M0149,CASH
NM-001456,20/02/2569 09:58,B03,,1,85,M0149,CASH
NM-001457,20/02/2569 10:23,C03,S,1,55,,QR
NM-001458,20/02/2569 12:42,T03,L,1,6000,,CARD
NM-001459,20/02/2569 12:50,T05,M,1,60,,CASH
NM-001460,20/02/2569 13:15,C06,M,1,75,,CASH
NM-001460,20/02/2569 13:15,T02,L,1,80,,CASH
NM-001461,20/02/2569 13:56,B03,,1,85,,QR
NM-001462,20/02/2569 13:57,C01,M,1,55,M0618,QR
NM-001462,20/02/2569 13:57,B04,,1,75,M0618,QR
NM-001463,20/02/2569 14:19,C05,M,3,70,,CARD
NM-001464,20/02/2569 14:20,C06,S,1,65,,QR
NM-001465,20/02/2569 14:24,B01,,2,55,M0562,CARD
NM-001465,20/02/2569 14:24,C01,M,1,55,M0562,CARD
NM-001466,20/02/2569 18:29,T01,L,1,65,,CARD
NM-001466,20/02/2569 18:29,B03,,1,85,,CARD
NM-001467,20/02/2569 19:51,T05,,2,60,M0234,QR
NM-001467,20/02/2569 19:51,B01,,1,55,M0234,QR
NM-001468,20/02/2569 19:58,C01,M,1,55,,CASH
NM-001468,20/02/2569 19:58,B04,,1,75,,CASH
NM-001468,20/02/2569 19:58,T05,S,1,50,,CASH
NM-001469,21/02/2569 07:05,C05,M,1,70,,QR
NM-001470,21/02/2569 07:14,T01,S,1,45,,CASH
NM-001470,21/02/2569 07:14,T02,L,1,80,,CASH
NM-001471,21/02/2569 07:28,C02,M,1,55,,CARD
NM-001471,21/02/2569 07:28,B01,,1,55,,CARD
NM-001472,21/02/2569 07:54,C02,S,1,45,,QR
